#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Вода
fuel_mixed_light_heat_1                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_1)                           = Смешанное легкое топливо (§6горячее§r)
fuel_mixed_light_heat_2                           (buildcraftenergy:fluid_block_fuel_mixed_light_heat_2)                           = Смешанное легкое топливо (§cжгучее§r)
fuel_gaseous                                      (buildcraftenergy:fluid_block_fuel_gaseous_heat_0)                               = Газообразное топливо (§bпрохладное§r)
fuel_gaseous_heat_1                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_1)                               = Газообразное топливо (§6горячее§r)
fuel_gaseous_heat_2                               (buildcraftenergy:fluid_block_fuel_gaseous_heat_2)                               = Газообразное топливо (§cжгучее§r)
witchwater                                        (exnihilocreatio:witchwater)                                                     = Ведьмина вода
spentsteam                                        ([no block])                                                                     = Пар низкого давления
hotsteam                                          ([no block])                                                                     = Густой пар
superhotsteam                                     ([no block])                                                                     = Сверхплотный пар
ultrahotsteam                                     ([no block])                                                                     = Ультраплотный пар
coolant                                           ([no block])                                                                     = Охлаждающая жидкость
hotcoolant                                        ([no block])                                                                     = Горячая охлаждающая жидкость
deuterium                                         ([no block])                                                                     = Дейтерий
tritium                                           ([no block])                                                                     = Тритий
hotoil                                            ([no block])                                                                     = Горячая сырая нефть
crackoil                                          ([no block])                                                                     = Высокоароматизированная нефть
hotcrackoil                                       ([no block])                                                                     = Горячая высокоароматизированная нефть
heavyoil                                          ([no block])                                                                     = Тяжелое масло
bitumen                                           ([no block])                                                                     = Битум
smear                                             ([no block])                                                                     = Индустриальное масло
heatingoil                                        ([no block])                                                                     = Мазут
reclaimed                                         ([no block])                                                                     = Восстановленное индустриальное масло
petroil                                           ([no block])                                                                     = Бензин
fracksol                                          ([no block])                                                                     = Гидроразрывающий растворитель
lubricant                                         ([no block])                                                                     = Машинная смазка
naphtha                                           ([no block])                                                                     = Нафта
diesel                                            ([no block])                                                                     = Дизель
lightoil                                          ([no block])                                                                     = Лигроин
kerosene                                          ([no block])                                                                     = Керосин
gas                                               ([no block])                                                                     = Природный газ
petroleum                                         ([no block])                                                                     = Нефтяной газ
aromatics                                         ([no block])                                                                     = Ароматические углеводороды
unsaturateds                                      ([no block])                                                                     = Ненасыщенные углеводороды
biogas                                            ([no block])                                                                     = Биогаз
biofuel                                           ([no block])                                                                     = Биотопливо
ethanol                                           (immersiveengineering:fluidethanol)                                              = Этанол
fishoil                                           ([no block])                                                                     = Рыбий жир
sunfloweroil                                      ([no block])                                                                     = Подсолнечное масло
colloid                                           ([no block])                                                                     = Коллоид
nitan                                             ([no block])                                                                     = NITAN© 100-октановое супертопливо
uf6                                               ([no block])                                                                     = Гексафторид урана
puf6                                              ([no block])                                                                     = Гексафторид плутония
sas3                                              ([no block])                                                                     = Трисульфид шрабидия
amat                                              ([no block])                                                                     = Антивещество
aschrab                                           ([no block])                                                                     = Антишрабидиум
acid                                              ([no block])                                                                     = Пероксид водорода
sulfuric_acid                                     ([no block])                                                                     = Серная кислота
nitric_acid                                       ([no block])                                                                     = Азотная кислота
solvent                                           ([no block])                                                                     = Растворитель
radiosolvent                                      ([no block])                                                                     = Высокоэффективный растворитель
nitroglycerin                                     ([no block])                                                                     = Нитроглицерин
liquid_osmiridium                                 ([no block])                                                                     = Осмиридиевый растворитель
watz                                              ([no block])                                                                     = Ядовитая грязь
cryogel                                           ([no block])                                                                     = Криогель
hydrogen                                          ([no block])                                                                     = Жидкий водород
oxygen                                            ([no block])                                                                     = Жидкий кислород
xenon                                             ([no block])                                                                     = Ксеноновый газ
balefire                                          ([no block])                                                                     = Жар-ракетное топливо
mercury                                           ([no block])                                                                     = Ртуть
plasma_dt                                         ([no block])                                                                     = Дейтериево-тритиевая плазма
plasma_hd                                         ([no block])                                                                     = Водородно-дейтериевая плазма
plasma_ht                                         ([no block])                                                                     = Водородно-тритиевая плазма
plasma_put                                        ([no block])                                                                     = Плутониево-тритиевая плазма
plasma_xm                                         ([no block])                                                                     = Ксенон-ртутная плазма
plasma_bf                                         ([no block])                                                                     = Жар-плазма
pain                                              ([no block])                                                                     = Раствор танталита пандемониума (III)
wastefluid                                        ([no block])                                                                     = Жидкие ядерные отходы
wastegas                                          ([no block])                                                                     = Газообразные ядерные отходы
gasoline                                          ([no block])                                                                     = Этилированный бензин
experience                                        ([no block])                                                                     = Эссенция знаний
toxic_fluid                                       (hbm:toxic_block)                                                                = Стереотипная зелёная слизь
radwater_fluid                                    (hbm:radwater_block)                                                             = Радиоактивная вода
mud_fluid                                         (hbm:mud_block)                                                                  = Токсичные отходы
schrabidic                                        (hbm:schrabidic_block)                                                           = Шрабидиевая кислота
corium_fluid                                      (hbm:corium_block)                                                               = Кориум
volcanic_lava_fluid                               (hbm:volcanic_lava_block)                                                        = Вулканическая лава
deadblood                                         (srparasites:deadblood)                                                          = Мёртвая кровь
creeper_acid                                      (techguns:block_creeper_acid)                                                    = Кислоты Крипера
milk                                              (techguns:block_milk)                                                            = Молоко
creosote                                          (immersiveengineering:fluidcreosote)                                             = Креозот
coal                                              ([no block])                                                                     = Разжиженный уголь
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Сырая нефть
refined_oil                                       ([no block])                                                                     = Нефть
refined_fuel                                      ([no block])                                                                     = Очищенное топливо
sap                                               ([no block])                                                                     = Сок
syrup                                             ([no block])                                                                     = Сироп
resin                                             ([no block])                                                                     = Смола
tree_oil                                          ([no block])                                                                     = Древесное масло
seed_oil                                          ([no block])                                                                     = Растительное масло
biocrude                                          ([no block])                                                                     = Бионефть
refined_biofuel                                   ([no block])                                                                     = Биотопливо
mushroom_stew                                     ([no block])                                                                     = Тушёные грибы
potion                                            ([no block])                                                                     = Зелье
potion_splash                                     ([no block])                                                                     = Взрывное зелье
potion_lingering                                  ([no block])                                                                     = Туманное зелье
redstone                                          (thermalfoundation:fluid_redstone)                                               = Дестабилизированный красный камень
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Заряженный светящийся камень
ender                                             (thermalfoundation:fluid_ender)                                                  = Резонирующий эндериум
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Пылающий пиротеум
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Ледяной криотеум
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Невесомый аэротеум
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Тектонический петротеум
mana                                              (thermalfoundation:fluid_mana)                                                   = Изначальная мана
platinum                                          ([no block])                                                                     = Расплавленная платина
iridium                                           ([no block])                                                                     = Расплавленный иридий
invar                                             ([no block])                                                                     = Расплавленный инвар
constantan                                        (immersiveengineering:molten_constantan)                                         = Расплавленный константан
signalum                                          ([no block])                                                                     = Расплавленный синал
lumium                                            ([no block])                                                                     = Расплавленный ламиум
enderium                                          ([no block])                                                                     = Расплавленный эндериум
plantoil                                          (immersiveengineering:fluidplantoil)                                             = Растительное масло
biodiesel                                         (immersiveengineering:fluidbiodiesel)                                            = Биодизель
concrete                                          (immersiveengineering:fluidconcrete)                                             = Жидкий бетон
uranium                                           (immersiveengineering:molten_uranium)                                            = Расплавленный уран
stone                                             (tconstruct:molten_stone)                                                        = Расплавленный камень
obsidian                                          (tconstruct:molten_obsidian)                                                     = Расплавленный обсидиан
clay                                              (tconstruct:molten_clay)                                                         = Расплавленная глина
dirt                                              (tconstruct:molten_dirt)                                                         = Жидкая земля
emerald                                           (tconstruct:molten_emerald)                                                      = Жидкий изумруд
glass                                             (tconstruct:molten_glass)                                                        = Жидкое стекло
blueslime                                         (tconstruct:blueslime)                                                           = Синяя слизь
purpleslime                                       (tconstruct:purpleslime)                                                         = Фиолетовая слизь
liquidpoop                                        (supertnt:liquid_poop_block)                                                     = fluid.liquidpoop
